,student_id,minutes_watched,paid_in_q2
0,4698,6.47,0
1,2622,15.87,0
2,2851,502.09,0
3,5325,166.51,0
4,2377,61.92,0
5,6643,541.96,0
6,1544,26.7,0
7,4685,6.28,0
8,7100,117.25,0
9,32237,449.72,0
10,10131,55.76,0
11,7548,3.98,0
12,6589,443.78,0
13,3221,93.63,0
14,9598,457.4,0
15,778,201.61,0
16,13169,2.02,0
17,2437,72.22,0
18,19178,27.17,0
19,16632,862.43,0
20,7724,24.1,0
21,2495,0.18,0
22,6871,14.23,0
23,2303,19.08,0
24,3712,47.85,0
25,9387,13.43,0
26,27832,5.9,0
27,7334,153.01,0
28,10002,62.32,0
29,8183,40.32,0
30,10393,709.28,0
31,26949,3.2,0
32,3016,24.17,0
33,4837,408.74,0
34,9952,23.73,0
35,3860,266.45,0
36,25211,765.04,0
37,1175,35.26,0
38,3367,101.93,0
39,11325,444.31,0
40,3698,1650.93,0
41,9746,317.7,0
42,2274,368.79,0
43,134788,55.09,0
44,18692,243.11,0
45,19741,0.42,0
46,22161,0.07,0
47,3495,0.08,0
48,2229,574.58,0
49,7034,467.04,0
50,8425,16.08,0
51,7246,379.26,0
52,6408,100.11,0
53,12868,12.21,0
54,8059,4.34,0
55,1977,994.55,0
56,11813,0.45,0
57,6864,6.02,0
58,4969,5.19,0
59,24006,792.19,0
60,2058,0.42,0
61,16725,787.17,0
62,5683,6.57,0
63,3148,21.26,0
64,22533,529.53,0
65,1571,77.6,0
66,13132,451.04,0
67,1067,0.26,0
68,1353,397.34,0
69,5427,41.48,0
70,900,283.33,0
71,8937,42.82,0
72,8686,0.22,0
73,1896,1058.62,0
74,3146,0.18,0
75,5591,6.35,0
76,2918,601.2,0
77,12701,0.1,0
78,1215,1542.71,0
79,2815,310.56,0
80,2764,36.55,0
81,1357,142.72,0
82,16991,1490.51,0
83,863,624.94,0
84,5036,964.15,0
85,1034,107.75,0
86,3779,592.3,0
87,3878,2.03,0
88,3781,1600.73,0
89,10608,6.05,0
90,916,339.05,0
91,1598,65.7,0
92,2550,9.61,0
93,14629,121.73,0
94,6817,13.5,0
95,14735,387.71,0
96,10218,16.65,0
97,5734,315.63,0
98,3466,251.71,0
99,10902,0.23,0
100,3558,155.67,0
101,4568,20.72,0
102,13566,12.87,0
103,13586,1.05,0
104,999,117.9,0
105,11082,6.85,0
106,4707,1308.07,0
107,5791,0.42,0
108,1284,586.51,0
109,12385,139.68,0
110,908,2278.0,0
111,6997,164.5,0
112,5955,111.03,0
113,2866,1630.57,0
114,8855,2046.07,0
115,1426,165.57,0
116,4869,50.59,0
117,2364,397.44,0
118,2954,316.01,0
119,6599,33.67,0
120,2055,53.47,0
121,767,0.05,0
122,3864,469.22,0
123,3980,12.15,0
124,2930,265.79,0
125,6239,48.49,0
126,6982,55.45,0
127,9336,5.47,0
128,830,0.36,0
129,911,878.07,0
130,9429,1638.51,0
131,6530,604.66,0
132,7122,126.5,0
133,1638,706.91,0
134,9107,309.7,0
135,9031,1.55,0
136,8964,20.71,0
137,8924,569.07,0
138,1057,1075.14,0
139,8797,33.98,0
140,2501,145.05,0
141,5321,888.5,0
142,6741,32.96,0
143,8544,65.8,0
144,7503,44.89,0
145,2318,3.58,0
146,1732,319.33,0
147,8641,24.15,0
148,1606,5.58,0
149,5687,48.3,0
150,2546,95.86,0
151,1713,86.83,0
152,1347,29.94,0
153,1045,82.25,0
154,2093,496.11,0
155,1841,23.65,0
156,6739,2509.41,0
157,3379,0.35,0
158,5971,53.93,0
159,5382,569.27,0
160,2078,10.13,0
161,6488,1468.64,0
162,4939,346.87,0
163,5502,244.84,0
164,4582,24.75,0
165,5392,12.32,0
166,4613,130.83,0
167,4958,1449.23,0
168,4751,0.25,0
169,1500,821.39,0
170,1253,0.15,0
171,4537,169.6,0
172,4972,48.22,0
173,4739,768.99,0
174,2170,3.3,0
175,3468,672.31,0
176,2692,94.75,0
177,618,546.35,0
178,3908,13.31,0
179,3797,306.83,0
180,3728,893.74,0
181,3305,308.39,0
182,5203,227.04,0
183,3641,192.56,0
184,5974,1017.61,0
185,4132,502.38,0
186,3182,0.13,0
187,2657,28.17,0
188,2973,68.68,0
189,1917,30.47,0
190,2339,182.27,0
191,1902,133.83,0
192,1336,9.65,0
193,2463,6.98,0
194,2149,604.18,0
195,804,514.06,0
196,1773,415.49,0
197,1959,259.49,0
198,1292,33.94,0
199,1238,50.8,0
200,1063,1867.34,0
201,1151,122.35,0
202,985,57.79,0
204,810,190.15,0
205,4514,306.16,0
206,1212,42.01,0
207,8835,157.74,0
208,9806,14.14,0
209,1271,40.54,0
210,1395,133.53,0
211,2185,965.88,0
212,2591,1674.25,0
213,4745,56.3,0
214,13266,439.61,0
215,5094,1183.92,0
216,2351,18.75,0
217,2984,648.23,0
218,2644,157.17,0
219,16043,245.63,0
220,5750,0.38,0
221,13463,48.26,0
222,1825,487.42,0
223,2629,216.07,0
224,8591,148.59,0
225,2157,4.47,0
226,4843,594.89,0
227,3107,27.43,0
228,2582,1577.52,0
229,2943,285.52,0
230,5380,0.87,0
231,3075,116.97,0
232,3030,50.21,0
233,902,34.62,0
234,5424,14.4,0
235,9305,1008.91,0
236,2113,43.51,0
237,4595,59.7,0
238,11404,96.16,0
239,1481,30.05,0
240,12898,87.75,0
241,3147,23.58,0
242,143466,27.96,0
243,143514,49.91,0
244,143523,747.35,0
245,143701,375.87,0
246,143801,105.22,0
247,24451,112.48,0
248,144083,72.95,0
249,144293,1112.94,0
250,144384,147.5,0
251,144400,543.53,0
252,144713,7.65,0
253,143655,6.64,0
254,144764,432.86,0
255,144786,868.27,0
256,1994,216.19,0
257,144900,548.16,0
258,144939,744.1,0
259,144956,115.91,0
260,144749,1022.5,0
261,144174,571.2,0
262,145185,148.35,0
263,145196,45.01,0
264,145235,24.3,0
265,145310,4.98,0
266,145290,2202.13,0
267,145477,115.23,0
268,145386,412.34,0
269,143691,22.23,0
270,3416,0.15,0
271,145464,68.46,0
272,144912,37.73,0
273,2967,0.44,0
274,145672,1811.26,0
275,144355,25.15,0
276,6012,6.45,0
277,145730,1962.45,0
278,145747,37.1,0
280,146929,2.34,0
281,156099,15.63,0
282,158250,9.65,0
283,156561,434.56,0
284,156543,70.25,0
285,145502,1503.29,0
286,156427,502.03,0
287,5076,348.39,0
288,155845,232.26,0
289,8779,0.3,0
290,18314,2.1,0
291,148134,788.32,0
292,152033,54.4,0
293,10685,76.46,0
294,158278,446.97,0
295,150906,37.1,0
296,148901,1524.22,0
297,147903,659.67,0
298,148054,1271.82,0
299,154559,62.87,0
300,9231,144.59,0
301,151620,466.62,0
302,147676,553.93,0
303,152421,64.76,0
304,156822,216.75,0
305,145993,743.61,0
306,153762,580.77,0
307,3402,13.23,0
308,158529,1.35,0
309,156843,465.71,0
310,137893,756.38,0
311,5071,315.32,0
312,7382,969.49,0
313,156080,96.01,0
314,158315,42.72,0
