,student_id,minutes_watched,paid_in_q2
0,4698,18.33,0
1,2851,401.55,0
2,6899,13.85,0
3,9101,1.02,0
4,2377,36.1,0
5,4685,366.11,0
6,1521,776.91,0
7,10131,76.16,0
8,7548,43.18,0
9,6589,176.01,0
10,21449,168.62,0
11,1661,5.18,0
12,1845,9.45,0
13,4035,26.29,0
14,2495,125.35,0
15,10422,871.99,0
16,4019,57.5,0
17,14649,51.06,0
18,3598,133.9,0
19,14905,67.33,0
20,27104,187.67,0
21,841,324.74,0
22,5836,643.55,0
23,1019,56.49,0
24,2417,13.13,0
25,3631,6.78,0
26,8600,18.47,0
27,37860,752.52,0
28,5340,224.7,0
29,2409,57.35,0
30,23287,0.47,0
31,7495,57.15,0
32,15345,0.05,0
33,3577,329.89,0
34,5704,0.1,0
35,7282,6.72,0
36,3780,141.04,0
37,6278,1206.44,0
38,7358,9.3,0
39,7294,21.21,0
40,2636,112.01,0
41,2236,9.12,0
42,11800,32.62,0
43,10938,7.27,0
44,11793,10.48,0
45,3420,78.91,0
46,2284,2.22,0
47,4629,234.48,0
48,1235,35.98,0
49,7540,325.05,0
50,11215,41.49,0
51,16414,55.34,0
52,1306,735.69,0
53,6618,123.22,0
54,838,348.3,0
55,6560,0.47,0
56,2688,70.64,0
57,3916,61.57,0
58,2073,467.52,0
59,10690,83.77,0
60,9108,2.17,0
61,1424,0.07,0
62,1864,301.22,0
63,7037,2.2,0
64,12704,12.58,0
65,2018,161.69,0
66,4112,47.85,0
67,14633,2.87,0
68,1852,218.23,0
69,2945,54.92,0
70,7179,4.77,0
71,389,0.15,0
72,1866,0.08,0
73,988,144.79,0
74,2295,40.02,0
75,5058,1.27,0
76,1581,285.95,0
77,14217,0.77,0
78,2084,89.4,0
79,7790,1.38,0
80,2863,2.58,0
81,5212,195.27,0
82,969,584.58,0
83,3070,542.95,0
84,9754,684.82,0
85,32560,5.2,0
86,4371,63.56,0
87,4162,16.17,0
88,11711,19.85,0
89,1382,0.33,0
90,17419,702.64,0
91,7178,20.25,0
92,136313,1.2,0
93,2723,75.08,0
94,12530,4.55,0
95,24423,236.04,0
96,16832,10.72,0
97,8133,164.42,0
98,25494,33.18,0
99,2114,78.19,0
100,15334,19.9,0
